section,parameter,design,offdesign_2.989MW_156K_26bar
dim,HPC_rho_out,2.6333908593833955,2.6333908593833955
dim,HPT_inlet_tip,0.1568442272504274,0.1568442272504274
dim,HPT_inlet_hub,0.12547538180034193,0.12547538180034193
dim,HPT_outlet_tip,0.20814555150505326,0.20814555150505326
dim,HPT_outlet_hub,0.05200125770122842,0.05200125770122842
dim,HPT_RPM,30441.976580581162,30441.976580581162
dim,HPT_U_mean,432.32896403553553,432.32896403553553
dim,HPT_Delta_h0,654087.3494907604,654087.3494907604
dim,HPT_Stages,2,2
dim,HPT_L,0.20800000000000002,0.20800000000000002
dim,HPT_A_in,0.027822070781454447,0.027822070781454447
dim,HPT_A_out,0.1276128752890168,0.1276128752890168
dim,HPT_rho_in,0.7111142229158942,0.7111142229158942
dim,HPT_rho_out,0.15503663089525094,0.15503663089525094
dim,OF_stoich,32.5,32.5
dim,T_flame,2426.954633465476,2426.954633465476
dim,OF_total,138.3211948295266,138.3211948295266
dim,f_primary,0.23496037639101147,0.23496037639101147
dim,f_quench,0.2,0.2
dim,f_secondary,0.5650396236089885,0.5650396236089885
dim,D_rich,0.2684819530816197,0.2684819530816197
dim,D_quench,0.3304334651326847,0.3304334651326847
dim,D_lean,0.4445600701582901,0.4445600701582901
dim,L_rich,0.08,0.08
dim,L_quench,0.16521673256634234,0.16521673256634234
dim,L_lean,0.14,0.14
dim,CC_L,0.38521673256634237,0.38521673256634237
dim,m_engine_total,221.50000000000074,221.50000000000074
dim,m_HPC,100.48881789137414,100.48881789137414
dim,m_CC,53.42891373801935,53.42891373801935
dim,m_HPT,67.58226837060725,67.58226837060725
dim,Q_recup_W,1910948.8204360735,1910948.8204360735
dim,m_recup,136.49634431686238,136.49634431686238
dim,m_bare_subtotal,357.9963443168631,357.9963443168631
dim,m_system_margin,82.33915919287851,82.33915919287851
dim,m_propulsion,440.3355035097416,440.3355035097416

expander,P_HC,150.0,150.0
expander,T_HC,1051.0430142090759,1051.0430142090759
expander,rho_HC,3.3671267856559006,3.3671267856559006
expander,P_HD,8,8
expander,T_HD,509.85217307355055,509.85217307355055
expander,rho_HD,0.3792532733708273,0.3792532733708273
expander,PR,18.75,18.75
expander,rho_ratio,8.878306456602635,8.878306456602635
expander,eta_H2T,0.92,0.92
expander,w_spec_exp,8093766.401409189,8093766.401409189
expander,mdot,0.03301123094842387,0.03301123094842387
expander,P_exp_W,267185.19191951235,267185.19191951235
expander,f_crank,80.0,80.0
expander,N_cyl,4,4
expander,V_swept,0.00027200845439495104,0.00027200845439495104
expander,bore,0.07022593126994287,0.07022593126994287
expander,stroke,0.07022593126994287,0.07022593126994287
expander,S_piston,11.236149003190858,11.236149003190858
expander,c_clearance,0.1269308328520176,0.1269308328520176
expander,P_peak,15000000.0,15000000.0
expander,Mean_eff_p,3069587.401633257,3069587.401633257
expander,t_wall,0.0008866910513881675,0.0008866910513881675
expander,Sp_power,0.2,0.2
expander,m_exp,53.437038383902475,53.437038383902475
expander,P_H2T_cycle,267185.19191951235,267185.19191951235
expander,power_mismatch,0.0,0.0
expander,V_dot_in,0.009803976223601997,0.009803976223601997
expander,V_dot_out,0.08704270540638434,0.08704270540638434

offdesign,P_shaft,,2989000.0
offdesign,TIT_od,,1800.0
offdesign,mdot_f,,0.04832893260706877
offdesign,mdot_air,,5.005459163672752
offdesign,mdot_aux,,0.4393062560933153
offdesign,aux_active,,True
offdesign,aux_fraction,,0.09620927397418147
offdesign,OF,,103.57065413318553
offdesign,T2p,,825.9987069509842
offdesign,T5,,1188.8222299853692
offdesign,T_exh_final,,761.448511776621
offdesign,T_pre_comp,,156
offdesign,P_pre_comp,,25.6
offdesign,TH2,,1188.8222299853692
offdesign,T_hex_hot_in,,1188.8222299853692
offdesign,P_H2T_W,,443388.0414406777
offdesign,P_H2comp_W,,86255.42316073582
offdesign,h2_net_W,,357132.6182799419
offdesign,Q_regen_W,,1950451.7473950437
offdesign,Q_regen_W_max,,1950451.7473950437
offdesign,regen_capped,,True
offdesign,eta_total,,0.5153917537522885
offdesign,SFC,,1.6168930280049773e-08
offdesign,SFC_hr,,0.05820814900817919
offdesign,q_in_W,,5799471.912848252
offdesign,tit_exceeded,,False
offdesign,hex_feasible,,False
offdesign,approach_min,,-1.5916157281026244e-12

