x,y
0.6555273330434483, 2.0523829642284017
0.6609327379007975, 2.0130656160683627
0.6746342722619603, 2.1722927146057165
0.6945329631514044, 2.2532488551502974
0.7144336353462951, 2.3329871532804214
0.7343329866708881, 2.4135373463535172
0.7542270545142903, 2.4973351191985005
0.7632866916033259, 2.6049982403016294
0.7801112522234201, 2.6014149796486894
0.801272932196727, 2.680936090575509
0.8211716230861711, 2.7618922311200897
0.8410709744107641, 2.8424424241931856
0.8609696653002082, 2.9233985647377674
0.8812920371311168, 2.9837766624944466
0.8860038999070178, 3.20553029626004
0.9004141807723112, 3.0623614931652954
0.917365778915657, 3.300485180530149
0.9195772695581915, 3.16374761008234
0.9381627332957807, 3.25979884024617
0.9430098734507659, 3.236455685776169
0.9465618413805749, 3.3983257107468927
0.960152290662022, 3.2793910360584326
0.9652571316927968, 3.4035007413676355
0.9816861849099222, 3.3645878219577887
1.0002743706644428, 3.4815666516486354
1.0201730615538867, 3.5625227921932168
1.0400697711378843, 3.6446967751522568
1.0520866088160443, 3.5336306623553106
1.0599678015921796, 3.726058863168324
1.079865832046475, 3.807420951184391
1.0997665042413656, 3.887159249314515
1.119667836871405, 3.9664915999731534
1.1319653273646149, 4.082658405579249
1.1402565999369916, 4.043011267405414
1.1518603866469728, 4.165846773946204
1.1601536397385632, 4.12498227662871
1.1728826640616505, 4.195757088266596
1.191967199871, 4.227503551052042
1.2101148707948903, 4.335433569199309
1.2300155429897808, 4.415171867329432
1.2499148943143736, 4.495722060402528
1.269820849990455, 4.5722127787607665
1.2897314287125783, 4.645861864818602
1.3104097755255064, 4.682862866335065
1.3295473026756341, 4.796407616706161
1.3483402836041054, 4.837473285565162
1.367860280979206, 4.911355197027468
1.3893014936370642, 5.0035526608491505
1.408841599689982, 5.065074438346311
1.4204490855107097, 5.1256750975066
1.4400218123425865, 5.167145969537156
1.4599559465850185, 5.22631626244533
1.4798892002472517, 5.286027818648819
1.4993188308312992, 5.305526450946854
1.5186362660632762, 5.374000783881524
1.5397114160290122, 5.451360273228765
1.5596602999897682, 5.501464405940421
1.5813529367445358, 5.524397905922091
1.600347267675939, 5.551851251293194
1.6195267649265006, 5.639598379930816
1.6394908388956797, 5.680365720798298
1.65945425242971, 5.721539009137265
1.6794282329261216, 5.75621713793246
1.6999950915592716, 5.776246081309591
1.7178447674610313, 5.807512154724783
1.7393508348505053, 5.859845576846556
1.7593334010038522, 5.889246388512434
1.7793212506383893, 5.915399620406425
1.7993130628838196, 5.939117167471501
1.8193075168698454, 5.961210924650634
1.8393039521613175, 5.982086839415309
1.8593023687582362, 6.001744911765526
1.8793087105769408, 6.016531614457913
1.8993170337010923, 6.030100474735843
1.919326677695541, 6.042857440070801
1.9393396238657343, 6.053584668048329
1.959358513952267, 6.0606583687824855
1.9773767698569291, 6.076428620851195
