Section,Parameter,Value
Tail Sizing (rechecked w/ T_TO),S_aileron,2.20536
Tail Sizing (rechecked w/ T_TO),Sa_Sref,0.027
Tail Sizing (rechecked w/ T_TO),p_achieved,0.177529
Tail Sizing (rechecked w/ T_TO),p_required,0.0747998
Tail Sizing (rechecked w/ T_TO),roll_ok,True
Drag Breakdown (cruise),CD0_wing,0.0051666
Drag Breakdown (cruise),CD0_htail,7.563721e-04
Drag Breakdown (cruise),CD0_vtail,7.403017e-04
Drag Breakdown (cruise),CD0_fus,0.00580935
Drag Breakdown (cruise),CD_misc,1.06
Drag Breakdown (cruise),CD_i,0.00270917
Drag Breakdown (cruise),CD_wL,0
Drag Breakdown (cruise),CD_wave,0
Drag Breakdown (cruise),e,0.808027
Drag Breakdown (cruise),CL_cruise,0.262244
Drag Breakdown (cruise),"CD0 (total, with misc factor) [-]",0.013221
Drag Breakdown (cruise),CD_lift_dep [-],0.00270917
Drag Breakdown (cruise),CD_total [-],0.0159301
Drag Breakdown (cruise),L_over_D [-],16.4621
Weight Breakdown,W_wing,3225.92
Weight Breakdown,W_htail,254.993
Weight Breakdown,W_vtail,286.166
Weight Breakdown,W_fus,5449.93
Weight Breakdown,W_lg,1200.95
Weight Breakdown,W_sc,651.84
Weight Breakdown,W_engine,2522.28
Weight Breakdown,W_total_prop,2837.21
Weight Breakdown,W_turbine,0
Weight Breakdown,W_battery,0
Weight Breakdown,W_fc,0
Weight Breakdown,W_ac_dc,0
Weight Breakdown,W_dc_dc,0
Weight Breakdown,W_dc_ac,0
Weight Breakdown,W_generator,0
Weight Breakdown,W_motor,0
Weight Breakdown,W_cable,0
Weight Breakdown,W_pipe,0
Weight Breakdown,W_h2_tank,314.935
Weight Breakdown,rho_turb,0
Weight Breakdown,rho_bat,0
Weight Breakdown,rho_fc,0
Weight Breakdown,rho_HTS_gen,0
Weight Breakdown,rho_HTS_pow,0
Weight Breakdown,rho_ac_dc,0
Weight Breakdown,rho_dc_dc,0
Weight Breakdown,rho_dc_ac,0
Weight Breakdown,rho_cable,0
Weight Breakdown,rho_pipe,0
Weight Breakdown,P_TO_KW,5567.88
Weight Breakdown,P_max_KW,5567.88
Weight Breakdown,P_cruise_KW,3648.69
Weight Breakdown,P_TO_OEI_KW,2783.94
Weight Breakdown,P_climb_KW,0
Weight Breakdown,P_reserve_KW,0
Weight Breakdown,P_primary_KW,2783.94
Weight Breakdown,P_secondary_KW,2783.94
Weight Breakdown,W_fuel,559.884
Weight Breakdown,W_primary,296.457
Weight Breakdown,W_secondary,1000.97
Weight Breakdown,grav_density,0.64
Weight Breakdown,configuration,1
Weight Breakdown,total_prop_efficiency,0.477058
Weight Breakdown,climb_efficiency,0.515248
Weight Breakdown,cruise_efficiency,0.467095
Weight Breakdown,t_cruise,"(0.0,)"
Weight Breakdown,t_climb,"(0.0,)"
Weight Breakdown,t_reserve,0
Weight Breakdown,W_structure [kg],11069.8
Weight Breakdown,W_empty (OEW) [kg],13592.1
Mission Power & Fuel,P_cruise_shaft,3.648691e+06
Mission Power & Fuel,P_reserve_shaft,1.386579e+06
Mission Power & Fuel,P_climb_shaft,5.067632e+06
Mission Power & Fuel,P_TO_shaft,2.592000e+06
Mission Power & Fuel,mdot_cruise,0.0760144
Mission Power & Fuel,mdot_reserve,0.0288871
Mission Power & Fuel,mdot_climb,0.105576
Mission Power & Fuel,t_cruise,4826.25
Mission Power & Fuel,t_reserve,2700
Mission Power & Fuel,t_climb,1000
Mission Power & Fuel,m_LH2_cruise,366.865
Mission Power & Fuel,m_LH2_reserve,77.9951
Mission Power & Fuel,m_LH2_climb,105.576
Mission Power & Fuel,m_LH2_TO_taxi,9.44881
Mission Power & Fuel,CL_cruise,0.287022
Mission Power & Fuel,CL_reserve,1.45615
Mission Power & Fuel,CL_climb,0.340496
Mission Power & Fuel,LD_cruise,17.4309
